	mean πS	std πS	mean πN	std πN	πN/πS	statistic, p-value
ORF1ab	0.022194575738151014	0.005335943545655959	0.004751666782311774	0.0009699267665163197	0.2253569967289105	Ttest_indResult(statistic=8.509379498985957, pvalue=1.9876100379695462e-06)
S	0.003618827178996362	0.0016974625512586408	0.0015838501048685892	0.0010315901764075574	0.5052917147864454	Ttest_indResult(statistic=2.7105308691860164, pvalue=0.018936780137019715)
ORF3a	0.005516012880133425	3.70285923842986e-05	0.004351303511269668	0.0035087501202972675	0.7648932398808346	Ttest_indResult(statistic=0.6486065639772325, pvalue=0.5327910137801566)
E	0.016173549533225445	0.0005315671068247711	0.023985158729226175	0.007123332678922622	1.553581417489803	Ttest_indResult(statistic=-2.1453520623194593, pvalue=0.0642386911717377)
M	0.0064918533604888		0.002078111530895755	6.970067084825181e-06		Ttest_indResult(statistic=nan, pvalue=nan)
ORF6						Ttest_indResult(statistic=nan, pvalue=nan)
ORF7a	0.012293647246918275	0.0003054775721027047				Ttest_indResult(statistic=nan, pvalue=nan)
ORF8	0.020153575455117388	0.00689057400032238	0.00874004007917705	0.002220740806240115	0.5098467456744695	Ttest_indResult(statistic=2.708424471590443, pvalue=0.03517967093646888)
N	0.005319780883972169	0.001974269963188561	0.0033363808796037352		0.9258827649886987	Ttest_indResult(statistic=nan, pvalue=nan)
ORF10						Ttest_indResult(statistic=nan, pvalue=nan)
